Title,Rating,Expert Rating,Location,Price Per Night,Distance From City,Facilities,Country
Marrakesh Hua Hin Resort & Spa,5 Star Hotel,9.0,Hua,"10,000",,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Fitness Center']",Thailand
W Bangkok,5 Star Hotel,9.0,Bangkok,"7,500",3 km from City Center,['Fitness Center'],Thailand
Twinpalms Phuket Resort,5 Star Hotel,9.0,Phuket,"10,000",7 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Tri Trang Beach Resort Phuket,4 Star Hotel,9.0,Phuket,"5,000",10 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Movenpick Siam Hotel Na Jomtien Pattaya,5 Star Hotel,9.0,Pattaya,"7,500",11 km from City Center,['Air-Conditioned'],Thailand
Avana Bangkok Hotel,4 Star Hotel,9.0,Bangkok,"2,500",14 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Chandara Resort & Spa Phuket,4 Star Hotel,9.0,Phuket,"5,000",7 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
The Sukhothai Bangkok Hotel,5 Star Hotel,9.0,Bangkok,"10,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Parinda Hotel Bangkok,4 Star Hotel,9.0,Bangkok,"2,500",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Chandara Resort & Spa Phuket,4 Star Hotel,9.0,Phuket,"5,000",7 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
The Cliff Residence Condo Pattaya,3 Star Hotel,9.0,Pattaya,"2,500",3 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Fitness Center', 'Free Parking']",Thailand
The Sukhothai Bangkok Hotel,5 Star Hotel,9.0,Bangkok,"10,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Naiyang Beach Hotel Phuket,3 Star Hotel,9.0,Phuket,"2,500",16 km from City Center,['Outdoor Pool'],Thailand
Royal Cliff Hotels Group Pattaya,5 Star Hotel,9.0,Pattaya,"10,000",3 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Lk Royal Wing Hotel Pattaya,4 Star Hotel,8.9,Pattaya,"2,500",1 km from City Center,"['Outdoor Pool', 'Free Parking']",Thailand
Tara Court Hotel Pattaya,3 Star Hotel,8.9,Pattaya,"2,500",3 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Phuvaree Resort Phuket,4 Star Hotel,8.9,Phuket,"7,500",10 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Hotel Riva Arun Bangkok,4 Star Hotel,8.9,Bangkok,"5,000",3 km from City Center,"['Free Wi-Fi', 'Laundry Service', 'Room Service']",Thailand
The Peninsula Bangkok,5 Star Hotel,8.9,Bangkok,"10,000",3 km from City Center,"['Fitness Center', 'Outdoor Pool']",Thailand
The Boathouse Phuket,4 Star Hotel,8.9,Phuket,"7,500",16 km from City Center,"['Restaurant', 'Fitness Center']",Thailand
Sala Rattanakosin Hotel Bangkok,4 Star Hotel,8.9,Bangkok,"5,000",3 km from City Center,"['Free Wi-Fi', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Hotel Riva Arun Bangkok,4 Star Hotel,8.9,Bangkok,"5,000",3 km from City Center,"['Free Wi-Fi', 'Laundry Service', 'Room Service']",Thailand
Oakwood Residence Sukhumvit Thonglor Bangkok,4 Star Hotel,8.9,Bangkok,"7,500",7 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
By The Sea Phuket Beach Resort,3 Star Hotel,8.9,Phuket,"2,500",16 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Lanna Samui,4 Star Hotel,8.9,Bangkok,"5,000",470 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Adelphi Suites Bangkok,4 Star Hotel,8.9,Bangkok,"7,500",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Amari Don Muang Airport Hotel Bangkok,4 Star Hotel,8.9,Bangkok,"5,000",21 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Best Western Plus At 20 Sukhumvit Bangkok,4 Star Hotel,8.9,Bangkok,"2,500",5 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Best Western Plus At 20 Sukhumvit Bangkok,4 Star Hotel,8.9,Bangkok,"2,500",5 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Hotel Holiday Inn Bangkok Sukhumvit,4 Star Hotel,8.9,Bangkok,"5,000",7 km from City Center,"['Fitness Center', 'Free Wi-Fi']",Thailand
Adelphi Suites Bangkok,4 Star Hotel,8.9,Bangkok,"7,500",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Hotel Sofitel Bangkok Sukhumvit,5 Star Hotel,8.9,Bangkok,"10,000",5 km from City Center,"['Free Wi-Fi', 'Restaurant']",Thailand
Somerset Park Suanplu Bangkok,4 Star Hotel,8.9,Bangkok,"7,500",4 km from City Center,"['Laundry Service', 'Restaurant', 'Air-Conditioned']",Thailand
Intimate Hotel By Tim Boutique Pattaya,4 Star Hotel,8.9,Pattaya,"2,500",,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Villa Atchara Phuket,4 Star Hotel,8.9,Phuket,"5,000",7 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
U Zenmaya Resort Phuket,5 Star Hotel,8.9,Phuket,"10,000",4 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Thailand
Royal Park Pool Villa Pattaya,3 Star Hotel,8.9,Pattaya,"7,500",3 km from City Center,"['Fitness Center', 'Laundry Service', 'Room Service']",Thailand
Wyndham Grand Phuket Kalim Bay Resort,5 Star Hotel,8.9,Phuket,"10,000",7 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Column Bangkok Hotel,4 Star Hotel,8.9,Bangkok,"10,000",5 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Movenpick Hotel Sukhumvit 15 Bangkok,5 Star Hotel,8.9,Bangkok,"5,000",5 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Lub D Phuket Patong Hostel,4 Star Hotel,8.9,Patong,"2,500",,"['Outdoor Pool', 'Laundry Service', 'Air-Conditioned']",Thailand
Marriott Executive Apartments Bangkok Sukhumvit Thonglor,5 Star Hotel,8.9,Bangkok,"10,000",7 km from City Center,['Free Parking'],Thailand
Jw Marriott Hotel Bangkok,5 Star Hotel,8.9,Bangkok,"10,000",4 km from City Center,['Free Parking'],Thailand
Hotel Lebua At State Tower Bangkok,5 Star Hotel,8.9,Bangkok,"10,000",3 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Thavorn Palm Beach Resort,5 Star Hotel,8.9,Phuket,"10,000",13 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Modern Thai Villa Rawai Phuket,4 Star Hotel,8.9,Phuket,"5,000",16 km from City Center,"['Outdoor Pool', 'Free Parking']",Thailand
Hotel Somerset Sukhumvit Thonglor Bangkok,4 Star Hotel,8.9,Bangkok,"7,500",7 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Thailand
Sheraton Grande Sukhumvit A Luxury Collection Hotel Bangkok,5 Star Hotel,8.8,Bangkok,"10,000",5 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Free Wi-Fi', 'Room Service']",Thailand
Grand President Hotel Bangkok,4 Star Hotel,8.8,Bangkok,"2,500",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Aloft Bangkok Sukhumvit 11 Hotel,4 Star Hotel,8.8,Bangkok,"5,000",4 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Air-Conditioned', 'Laundry Service']",Thailand
Sheraton Grande Sukhumvit A Luxury Collection Hotel Bangkok,5 Star Hotel,8.8,Bangkok,"10,000",5 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Free Wi-Fi', 'Room Service']",Thailand
Lohas Residences Sukhumvit Bangkok,4 Star Hotel,8.8,Bangkok,"2,500",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Ccr Managed By Aha Smartstay Pattaya,4 Star Hotel,8.8,Pattaya,"2,500",1 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Thailand
Rainforest Boutique Hotel Chiang Mai,3 Star Hotel,8.8,Chiang,"5,000",9 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Thailand
Little Nyonya Hotel Phuket,4 Star Hotel,8.8,Phuket,"2,500",9 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
"Chanalai Flora Resort, Kata Beach   Phuket",4 Star Hotel,8.8,Phuket,"2,500",16 km from City Center,,Thailand
A One New Wing Hotel Pattaya,4 Star Hotel,8.8,Pattaya,"5,000",1 km from City Center,"['Free Parking', 'Fitness Center']",Thailand
Peace Resort Ko Samui,4 Star Hotel,8.8,Ko,"5,000",6 km from City Center,,Thailand
Lk The Empress Hotel Pattaya,4 Star Hotel,8.8,Pattaya,"5,000",,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Ma Hotel Bangkok,4 Star Hotel,8.8,Bangkok,"2,500",3 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Page10 Hotel Pattaya,4 Star Hotel,8.8,Pattaya,"5,000",,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
The Woods (Grand Natural Park Resort) Phuket,4 Star Hotel,8.8,Phuket,"2,500",6 km from City Center,"['Outdoor Pool', 'Laundry Service']",Thailand
Centara Watergate Pavillion Hotel Bangkok,4 Star Hotel,8.8,Bangkok,"7,500",3 km from City Center,"['Free Wi-Fi', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Oakwood Residence Sukhumvit 24 Bangkok,4 Star Hotel,8.8,Bangkok,"7,500",6 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
China Garden Restaurant & Hotel Pattaya,2 Star Hotel,8.8,Pattaya,"2,500",1 km from City Center,"['Free Wi-Fi', 'Restaurant', 'Room Service']",Thailand
Miracle Grand Convention Hotel,4 Star Hotel,8.8,Bangkok,"2,500",17 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Pavilion Samui Villas And Resort Ko Samui,4 Star Hotel,8.8,Ko,"7,500",6 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
My Resort Phuket,5 Star Hotel,8.8,Phuket,"7,500",17 km from City Center,"['Outdoor Pool', 'Free Parking']",Thailand
R Mar Resort And Spa Phuket,4 Star Hotel,8.8,Phuket,"5,000",8 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Hotel Mandarin Oriental Bangkok,5 Star Hotel,8.8,Bangkok,"10,000",3 km from City Center,"['Outdoor Pool', 'Room Service']",Thailand
Hotel Selection Pattaya,4 Star Hotel,8.8,Pattaya,"2,500",1 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
"Chanalai Garden Resort, Kata Beach   Phuket",4 Star Hotel,8.8,Phuket,"5,000",16 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Laundry Service', 'Room Service']",Thailand
Royal Wing Suites & Spa Pattaya,5 Star Hotel,8.8,Pattaya,"10,000",3 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Hotel Casa Nithra Bangkok,4 Star Hotel,8.8,Bangkok,"2,500",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Bangkok Marriott Marquis Queens Park Hotel,5 Star Hotel,8.8,Bangkok,"5,000",5 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Air-Conditioned', 'Laundry Service']",Thailand
Hotel Centre Point Silom Bangkok,4 Star Hotel,8.8,Bangkok,"7,500",2 km from City Center,['Outdoor Pool'],Thailand
Citrus Sukhumvit 11 By Compass Hospitality Bangkok,4 Star Hotel,8.8,Bangkok,"2,500",4 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Air-Conditioned', 'Laundry Service']",Thailand
Orchidacea Resort Phuket,3 Star Hotel,8.8,Phuket,"5,000",16 km from City Center,['Fitness Center'],Thailand
Bliston Suwan Park View Hotel Bangkok,4 Star Hotel,8.8,Bangkok,"7,500",3 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Royal Benja Hotel Bangkok,4 Star Hotel,8.8,Bangkok,"5,000",6 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
A2 Sea Hotel Pattaya,3 Star Hotel,8.7,Pattaya,"2,500",5 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Mandarava Resort And Spa,4 Star Hotel,8.7,Phuket,"10,000",13 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Hotel Mermaid Bangkok,4 Star Hotel,8.7,Bangkok,"2,500",5 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Double Tree By Hilton Sukhumvit Bangkok,5 Star Hotel,8.7,Bangkok,"7,500",6 km from City Center,"['Fitness Center', 'Outdoor Pool']",Thailand
Health Oasis Resort Ko Samui,4 Star Hotel,8.7,Ko,"7,500",10 km from City Center,"['Laundry Service', 'Restaurant', 'Outdoor Pool']",Thailand
Woodlands Hotel & Resort Pattaya,4 Star Hotel,8.7,Pattaya,"7,500",2 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
The Vijitt Resort Phuket,5 Star Hotel,8.7,Phuket,"10,000",20 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
The Agate Pattaya Boutique Resort,5 Star Hotel,8.7,Pattaya,"10,000",4 km from City Center,"['Outdoor Pool', 'Restaurant']",Thailand
Arte Hotel Bangkok,4 Star Hotel,8.7,Bangkok,"2,500",5 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Baan Issara Resort Hua Hin,4 Star Hotel,8.7,Hua,"5,000",,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Grand Swiss Sukhumvit 11 By Compass Hospitality Bangkok,4 Star Hotel,8.7,Bangkok,"5,000",213 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Hotel Vista Pattaya,4 Star Hotel,8.7,Pattaya,"2,500",1 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Kamala Resort And Spa Phuket,4 Star Hotel,8.7,Phuket,"5,000",7 km from City Center,['Restaurant'],Thailand
Mantra Samui Resort Ko Samui,5 Star Hotel,8.7,Ko,"5,000",5 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
The Agate Pattaya Boutique Resort,5 Star Hotel,8.7,Pattaya,"10,000",4 km from City Center,"['Outdoor Pool', 'Restaurant']",Thailand
Radisson Suites Bangkok Sukhumvit,4 Star Hotel,8.7,Bangkok,"7,500",4 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Neo Condo Jomtien By Good Luck Pattaya,3 Star Hotel,8.7,Pattaya,"2,500",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Air-Conditioned']",Thailand
A One Bangkok Hotel,4 Star Hotel,8.7,Bangkok,"2,500",7 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Royal Cliff Beach Hotel Pattaya,5 Star Hotel,8.7,Pattaya,"7,500",3 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Arize Hotel Sukhumvit Bangkok,4 Star Hotel,8.7,Bangkok,"5,000",6 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Jasmine Grande Residence Bangkok,5 Star Hotel,8.7,Bangkok,"5,000",9 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Patong Beach Hotel,4 Star Hotel,8.7,Patong,"5,000",,"['Outdoor Pool', 'Restaurant']",Thailand
Coco Retreat Phuket Resort And Spa,4 Star Hotel,8.7,Phuket,"2,500",12 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Royal Beach View Hotel Pattaya,4 Star Hotel,8.7,Pattaya,"5,000",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Woodlands Suites Serviced Residences Pattaya,4 Star Hotel,8.7,Pattaya,"5,000",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Safari Beach Hotel Phuket,3 Star Hotel,8.7,Patong,"2,500",,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
S31 Sukhumvit Hotel Bangkok,5 Star Hotel,8.7,Bangkok,"10,000",4 km from City Center,"['Restaurant', 'Fitness Center']",Thailand
I Sanook Hotel Bangkok,4 Star Hotel,8.7,Bangkok,"2,500",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Hotel Millennium Hilton Bangkok,5 Star Hotel,8.7,Bangkok,"7,500",2 km from City Center,"['Free Parking', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
I Sanook Hotel Bangkok,4 Star Hotel,8.7,Bangkok,"2,500",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Samui Resotel Beach Resort Ko Samui,4 Star Hotel,8.7,Ko,"2,500",5 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Sathorn Vista Bangkok Marriott Executive Apartments Thailand,5 Star Hotel,8.7,Bangkok,"10,000",4 km from City Center,"['Outdoor Pool', 'Room Service', 'Restaurant']",Thailand
Baan Laimai Beach Resort Phuket,4 Star Hotel,8.7,Patong,"7,500",,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
The Bell Pool Villa Resort Phuket,5 Star Hotel,8.7,Phuket,"10,000",5 km from City Center,['Fitness Center'],Thailand
Surin Beach Resort Phuket,4 Star Hotel,8.7,Phuket,"5,000",7 km from City Center,"['Outdoor Pool', 'Room Service', 'Restaurant']",Thailand
Villa Villa Pattaya,4 Star Hotel,8.7,Pattaya,"5,000",4 km from City Center,"['Outdoor Pool', 'Free Parking', 'Air-Conditioned']",Thailand
Phuphaya Resort Pattaya,3 Star Hotel,8.7,Pattaya,"2,500",2 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Royal Thai Pavilion Hotel Pattaya,4 Star Hotel,8.7,Pattaya,"7,500",7 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Chaweng Regent Beach Resort Ko Samui,4 Star Hotel,8.7,Ko,"10,000",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
J Inspired Hotel Pattaya,4 Star Hotel,8.7,Pattaya,"2,500",2 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Praya Palazzo Hotel Bangkok,5 Star Hotel,8.7,Bangkok,"7,500",3 km from City Center,['Free Parking'],Thailand
Princess Seaview Resort & Spa Phuket,4 Star Hotel,8.7,Phuket,"2,500",13 km from City Center,,Thailand
Royal Thai Pavilion Hotel Pattaya,4 Star Hotel,8.7,Pattaya,"7,500",7 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
The Berkeley Hotel Pratunam Bangkok,5 Star Hotel,8.7,Bangkok,"10,000",3 km from City Center,"['Outdoor Pool', 'Laundry Service']",Thailand
Oaks Bangkok Sathorn Hotel,5 Star Hotel,8.7,Bangkok,"10,000",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Chakrabongse Villas Bangkok,5 Star Hotel,8.6,Bangkok,"10,000",3 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Areca Lodge Hotel Pattaya,3 Star Hotel,8.6,Pattaya,"2,500",,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Aloha Resort Ko Samui,3 Star Hotel,8.6,Ko,"7,500",8 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Aloha Resort Ko Samui,3 Star Hotel,8.6,Ko,"7,500",8 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Supalai Resort & Spa Phuket,4 Star Hotel,8.6,Phuket,"7,500",18 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Wave Hotel Pattaya,5 Star Hotel,8.6,Pattaya,"10,000",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Holiday Inn Bangkok,4 Star Hotel,8.6,Bangkok,"5,000",3 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Grand Hyatt Erawan Hotel Bangkok,4 Star Hotel,8.6,Bangkok,"10,000",3 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Room Service']",Thailand
Banthai Beach Resort & Spa Ko Samui,4 Star Hotel,8.6,Ko,"5,000",261 km from City Center,['Outdoor Pool'],Thailand
Tsix5 Hotel Pattaya,4 Star Hotel,8.6,Pattaya,"5,000",4 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
U Sathorn Bangkok Resort,5 Star Hotel,8.6,Bangkok,"7,500",5 km from City Center,"['Free Parking', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
Centara Nova Hotel & Spa Pattaya,4 Star Hotel,8.6,Pattaya,"2,500",1 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Arun Residence Bangkok,4 Star Hotel,8.6,Bangkok,"5,000",3 km from City Center,"['Restaurant', 'Room Service']",Thailand
Emporium Suites By Chatrium Hotel Bangkok,5 Star Hotel,8.6,Bangkok,"10,000",6 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Novotel Bangkok Bangna,4 Star Hotel,8.6,Bangkok,"5,000",16 km from City Center,['Fitness Center'],Thailand
U Sukhumvit Hotel Bangkok,4 Star Hotel,8.6,Bangkok,"7,500",5 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Secret Garden Beach Resort Koh Samui,3 Star Hotel,8.6,Koh,"2,500",,"['Laundry Service', 'Restaurant']",Thailand
Centra By Centara Avenue Hotel Pattaya,4 Star Hotel,8.6,Pattaya,"2,500",,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Hotel Sivatel Bangkok,3 Star Hotel,8.6,Bangkok,"10,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Fraser Suites Sukhumvit Hotel Bangkok,5 Star Hotel,8.6,Bangkok,"5,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Aqua Resort Phuket,4 Star Hotel,8.6,Phuket,"2,500",16 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
South Beach Pattaya,3 Star Hotel,8.6,Pattaya,"2,500",3 km from City Center,"['Laundry Service', 'Air-Conditioned']",Thailand
Sugar Hut Resort Pattaya,3 Star Hotel,8.6,Pattaya,"2,500",3 km from City Center,,Thailand
Thai House Beach Resort Koh Samui,3 Star Hotel,8.6,Koh,"5,000",,"['Free Wi-Fi', 'Restaurant']",Thailand
Sugar Hut Resort Pattaya,3 Star Hotel,8.6,Pattaya,"2,500",3 km from City Center,,Thailand
South Beach Pattaya,3 Star Hotel,8.6,Pattaya,"2,500",3 km from City Center,"['Laundry Service', 'Air-Conditioned']",Thailand
"Bangkok Hotel Lotus, Sukhumvit",4 Star Hotel,8.6,Bangkok,"2,500",6 km from City Center,['Free Parking'],Thailand
At Mind Serviced Residence Pattaya,4 Star Hotel,8.6,Pattaya,"5,000",1 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service', 'Restaurant']",Thailand
The Racha Resort Phuket,5 Star Hotel,8.6,Phuket,"10,000",38 km from City Center,['Fitness Center'],Thailand
Sino House Hotel Phuket Town,3 Star Hotel,8.6,Phuket,"2,500",9 km from City Center,"['Laundry Service', 'Room Service']",Thailand
Bandara Villas Phuket,5 Star Hotel,8.6,Phuket,"10,000",17 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Thailand
Jasmine City Hotel Bangkok,4 Star Hotel,8.6,Bangkok,"5,000",5 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Thailand
Jasmine Resort Bangkok,5 Star Hotel,8.6,Bangkok,"5,000",9 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Hotel Icon Bangkok,4 Star Hotel,8.6,Bangkok,"2,500",4 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Vie Hotel Bangkok,5 Star Hotel,8.6,Bangkok,"10,000",2 km from City Center,"['Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Thailand
Chateau De Bangkok Hotel,4 Star Hotel,8.5,Bangkok,"5,000",4 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Restaurant']",Thailand
Bodega Bangkok Party Hostel & Bar,4 Star Hotel,8.5,Bangkok,"2,500",213 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Restaurant']",Thailand
Hotel All Seasons Naiharn Phuket,4 Star Hotel,8.5,Phuket,"7,500",20 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Lek Hotel Pattaya,3 Star Hotel,8.5,Pattaya,"2,500",2 km from City Center,"['Laundry Service', 'Restaurant']",Thailand
Marina Phuket Resort,4 Star Hotel,8.5,Phuket,"10,000",14 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
Hua Chang Heritage Hotel Bangkok,4 Star Hotel,8.5,Bangkok,"10,000",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
"Oberry Resort (Company Oberry Property Co., Ltd.). Bangkok",3 Star Hotel,8.5,Bangkok,"2,500",8 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Thailand
Orchid Resort,3 Star Hotel,8.5,Phuket,"7,500",14 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Hua Chang Heritage Hotel Bangkok,4 Star Hotel,8.5,Bangkok,"10,000",2 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Thailand
Marina Phuket Resort,4 Star Hotel,8.5,Phuket,"10,000",14 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Restaurant']",Thailand
